painting,image_path,baseline,vad,emotion
robert-ryman_untitled-36-1963,images/robert-ryman_untitled-36-1963.jpg,لوحه بها بعض الاشكال بالوان مختلفه منها الاصفر والاحمر,حائط لونه ابيض عليه خطوط باللون الاسود والاحمر والابيض بشكل عشوائي وغير منتظم,يبدو ان تلك اللوحه تعبر عن حاله من الحماس والاثاره والمتعه في هذه اللوحه الفنيه
vasily-surikov_colosseum-1900,images/vasily-surikov_colosseum-1900.jpg,قصر كبير جدا الوانة مبهجة للرؤية وجذابة وتتميز بالرقة,مدينة بها منازل كثيرا بجانب بعضهم وتتميز بالوان مشرقة وجذابة للغاية,قصر كبير جدا الوانة مبهجة للرؤية وجذابة وتتميز بالرقة وبها عدة الوان مبهجة
william-holman-hunt_self-portrait,images/william-holman-hunt_self-portrait.jpg,شاب وسيم ذو شعر ناعم يرتدي ملابس سوداء,رجل وسيم ذو شعر ناعم يرتدي ملابس أنيقة,رجل وسيم ذو ملامح جميلة وشعر بني طويل ويرتدي بدلة
ilya-repin_choosing-a-bride-for-a-grand-duke-1884,images/ilya-repin_choosing-a-bride-for-a-grand-duke-1884.jpg,مجموعة من الناس يتجمعون في مكان ما و يبدو انهم يستمتعون بوقتهم,يبدو أن هؤلاء الرجال سعداء معا يبدو انهم سعداء للغايه,حفل زفاف و يجتمع الناس في حفل الزفاف و هم يرتدون ملابس جميلة
ivan-aivazovsky_the-shipwreck-on-black-sea-1873,images/ivan-aivazovsky_the-shipwreck-on-black-sea-1873.jpg,امواج البحر عاليه تصطدم بها سفينه تغرق في البحر,أمواج البحر عالية تضرب سفينة كبيرة فى بحر هائج مع سماء قاتمة والظلام يسود المكان في كل مكان مما يثير الخوف والرعب,أمواج البحر عالية تضرب سفينة كبيرة تكاد تغرق في السماء
camille-pissarro_sunset-at-sent-charlez-eragny-1891,images/camille-pissarro_sunset-at-sent-charlez-eragny-1891.jpg,لون السماء الفاتح متناغم مع تلك الطبيعه الخضراء,حديقه جميله بها اشجار خضراء و سماء صافيه,حديقة بها أشجار وحشائش خضراء وسماء صافية هادئة
ivan-aivazovsky_seascape-2,images/ivan-aivazovsky_seascape-2.jpg,بحر واسع به قارب صغير وعلى شاطئه بعض الأشخاص يقفون على الشاطئ,بحر واسع امواجه هادئه ويوجد مركب به اشخاص كثيره وهناك اشخاص يمشون علي الشط ويوجد خلفهم جبال عاليه وسماء,بحر كبير جدا ولدية مياة صافية وسفن ومراكب كبيرا جدا
childe-hassam_union-square,images/childe-hassam_union-square.jpg,مدينه جميله بها الكثير من الناس و هناك عربه يجرها حصان,مدينة بها منازل كثيرا بجانب أشجار وحشائش كثيرا ويوجد بة ضجيج,شارع به العديد و من الناس يتجولون علي الطريق و يوجد بعض المباني و الاشجار الخضراء
thomas-eakins_portrait-of-dr-horatio-c-wood,images/thomas-eakins_portrait-of-dr-horatio-c-wood.jpg,رجل يرتدي ملابس سوداء يجلس على كرسي خشبي,رجل يجلس على كرسي خشبي يرتدي بدلة سوداء ويمسك بيده سيجارة,رجل يرتدي بدلة انيقة جدا ويجلس بمفردة ولدية لحية كبيرا جدا ولدية شعر اسود اللون ويرتدي بدلة جميلة جدا
rembrandt_portrait-of-coppenol-1658,images/rembrandt_portrait-of-coppenol-1658.jpg,رجل عجوز يجلس بمفردة ويرتدي ملابس بسيطة جدا ويحمل كتاب,رجل عجوز يجلس بمفردة ويرتدي ملابس بسيطة جدا ولدية شعر ابيض اللون ويرتدي قبعة سوداء اللون,رجل عجوز ذو ملامح جميلة وشعر ابيض يجلس في هدوء
pierre-auguste-renoir_study-of-flowers,images/pierre-auguste-renoir_study-of-flowers.jpg,زهور عباد الشمس الصفراء والحمراء في شكل متباين ورائع متميز,مجموعة من الزهور ذات اللون الأحمر و الأصفر مع بعضهم البعض,مجموعة من الزهور مختلفة الالوان منها الاحمر والاصفر والاخضر
vincent-van-gogh_still-life-with-grapes-pears-and-lemons-1887-1,images/vincent-van-gogh_still-life-with-grapes-pears-and-lemons-1887-1.jpg,لوحة توضح مجموعة من الزهور الصفراء اللون وتبدو رائعة,يبدو أن هذه الفاكهة الصفراء الجميلة التي تعطي شعورا بالراحة,حائط لونه اصفر عليه زهور لونها اصفر واحمر واخضر حولها اشجار خضراء وزهور لونه احمر واصفر
henri-matisse_still-life-1,images/henri-matisse_still-life-1.jpg,طاولة موضوع عليها طبق به بعض الفواكه وكوب ماء,طاولة موضوع عليها طبق به بعض من الطعام وكوب ماء وطبق به ماء للشرب,طبق به فاكهة لذيذة وطازجة ويوجد بعض الفواكه الطازجة التي علي المنضده تعطي شعور بالراحة النفسية
ilya-repin_portrait-of-doctor-constantine-franzevich-yanitsky-1865,images/ilya-repin_portrait-of-doctor-constantine-franzevich-yanitsky-1865.jpg,رجل ذو شارب اسود وشعر اسود يرتدي ملابس سوداء,رجل ذو شارب كبير يرتدي ملابس سوداء انيقه و يبدو انه ذو سلطة,رجل يرتدي ملابس لونها اخضر له شارب ولحيه لونهم ابيض
helen-frankenthaler_reflections-iii-1995,images/helen-frankenthaler_reflections-iii-1995.jpg,لوحة فنية توجد بها عدة الوان جذابة طبيعية وتتميز بالرقة,لوحة بها الوان مبهجة للرؤية وجذابة وتتميز بالرقة,لوحة فنية توجد فيها ألوان فاتحة جذابة وتتميز بالرقة وألوانها مبهجة وجذابة للغاية
ferdinand-hodler_lake-geneva-with-mont-blanc-in-the-morning-light-1918,images/ferdinand-hodler_lake-geneva-with-mont-blanc-in-the-morning-light-1918.jpg,جبال عالية و سماء صافية و يوجد في الأسفل بعض الجبال,جبال عالية و سماء صافية و جبال شاهقة الارتفاع تبدو كأنها جبال ثلجية,جبال عالية مع سماء صافية هادئة مع جبال شاهقة الارتفاع
amadeo-de-souza-cardoso_untitled-portrait-of-paul-alexander-1917,images/amadeo-de-souza-cardoso_untitled-portrait-of-paul-alexander-1917.jpg,مجموعة من الأشكال المتداخلة التي لا تعطي معني مفهوم,لوحة فنية توجد بها عدة الوان جذابة طبيعية وتتميز بالرقة وبها عدة اشكال مختلفة,مجموعة من الأشكال الهندسية المتداخلة مع بعضها البعض و يوجد ألوان كثيرة
boris-kustodiev_portrait-of-d-m-solsky-1908,images/boris-kustodiev_portrait-of-d-m-solsky-1908.jpg,رجل يرتدي ملابس لونها ازرق واحمر يمسك في يده سيف لونه ابيض,رجل كبير في العمر يجلس علي كرسي ويمسك بيده كتاب يبدو انه كاتب او باحث ويرتدي بدله,رجل يرتدي ملابس استقراطي ولدية ملامح قوية جدا ويحمل سيف
james-mcneill-whistler_harmony-in-red-lamplight,images/james-mcneill-whistler_harmony-in-red-lamplight.jpg,رجل يرتدي ملابس لونها اسود له شارب ولحيه لونه اسود,سيدة ترتدي فستان انيق جدا ولديها ملامح جذابة للغاية وجذابة,سيدة ترتدي فستان أحمر انيق وجذاب جدا
josefa-de-obidos_nativity-of-jesus-1669,images/josefa-de-obidos_nativity-of-jesus-1669.jpg,سيدة تجلس على كرسي وحولها مجموعة من الرجال والنساء والاطفال,عائلة مجتمعة في مكان ما و يبدو انهم سعداء و يشعرون بالسعادة و الرضا والقبول و,يبدو أن هؤلاء الاشخاص سعداء بكونهم معا بشكل رائع و هم يشعرون بالرضا و السعادة
alice-baber_wheel-of-day-1971,images/alice-baber_wheel-of-day-1971.jpg,تداخل الالوان مع بعضها وتباينها بشكل جميل ومميز,الالوان المختلفه تبدو رائعه وجميله وبها الكثير من التفاصيل الجميله,ألوان كثيرة منتشرة فى كل مكان يشبه لون السماء لقد شعرت بالرضا عندما نظرت إليها. .
ivan-aivazovsky_burning-ship-the-episode-of-the-russian-turkish-war,images/ivan-aivazovsky_burning-ship-the-episode-of-the-russian-turkish-war.jpg,بحر واسع امواجه مشتدة و مضطربة و السماء ملئه بالغيوم,بحر امواجه عاليه جدا ويوجد بها قارب خشبي صغير والسماء بها غيوم لونها ابيض واسود والسماء لونها ازرق بها نجوم لونها اسود,بحيره بها قارب خشبي صغير والسماء بها غيوم لونها اسود
